arm,seed,metric,value
qk-readout-r32,456,logit_cc_centered_rms,0.9414679408073425
qk-readout-r32,456,logit_cp_centered_rms,0.55604487657547
qk-readout-r32,456,logit_pc_centered_rms,1.129790186882019
qk-readout-r32,456,logit_pp_centered_rms,1.1549667119979858
qk-readout-r32,456,logit_position_total_centered_rms,1.6727592945098877
qk-readout-r32,456,logit_total_centered_rms,2.020905017852783
qk-readout-r32,456,logit_position_total_cosine,0.8624119162559509
qk-readout-r32,456,attention_kl_full_vs_content_only,1.9554826021194458
qk-readout-r32,789,entropy_normalized,0.583328127861023
qk-readout-r32,789,attended_distance_tokens,84.98262023925781
qk-readout-r32,789,attended_distance_fraction,0.20435704290866852
qk-readout-r32,789,first_token_mass,0.027287514880299568
qk-readout-r32,789,distance_mass_0,0.07452420890331268
qk-readout-r32,789,distance_mass_1_3,0.23147958517074585
qk-readout-r32,789,distance_mass_4_15,0.18536372482776642
qk-readout-r32,789,distance_mass_16_63,0.19011807441711426
qk-readout-r32,789,distance_mass_64_255,0.21038411557674408
qk-readout-r32,789,distance_mass_256_plus,0.10812974721193314
qk-readout-r32,789,query_corr_entropy,0.339216023683548
qk-readout-r32,789,query_corr_distance_fraction,-0.5028257966041565
qk-readout-r32,789,query_corr_first_token_mass,-0.4294104278087616
qk-readout-r32,789,logit_cc_centered_rms,0.8751599192619324
qk-readout-r32,789,logit_cp_centered_rms,0.5497372150421143
qk-readout-r32,789,logit_pc_centered_rms,1.057173252105713
qk-readout-r32,789,logit_pp_centered_rms,1.1517356634140015
qk-readout-r32,789,logit_position_total_centered_rms,1.616418480873108
qk-readout-r32,789,logit_total_centered_rms,1.9242689609527588
qk-readout-r32,789,logit_position_total_cosine,0.8660818934440613
qk-readout-r32,789,attention_kl_full_vs_content_only,1.8708964586257935
